Response ID,Time Started,Date Submitted,Status,Language,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Which higher education institution do you or did you study at?,What is your current year of study as of 2025?,What will be your highest qualification when you graduate?,Which of the following best describes the main subject that you are studying? ,Please indicate your nationality.,What is your gender?,Which of these statements best describes your current perception of the organisation as an employer?,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?   ",Which of these factors would most motivate you to apply for a position at the organisation?  ,Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?  
19,"Sep 2, 2025 3:03:01 PM","Sep 2, 2025 3:03:40 PM",Partial,English,1756796577_68b696a123dd27.81295289,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,104.28.119.112,-97.8219986,37.75099945,United States,,,,National University of Singapore (NUS),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,,,,,,,,,,,
20,"Sep 2, 2025 3:15:32 PM","Sep 2, 2025 3:16:59 PM",Disqualified,English,1756797328_68b699901c4cf6.89118890,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,57.140.24.26,4.34469986,50.85089874,Belgium,,,,Singapore Management University (SMU),Year 3,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,,,,,,,,,,,
21,"Sep 2, 2025 3:18:01 PM","Sep 2, 2025 3:19:30 PM",Disqualified,English,1756797478_68b69a26c5d785.44808899,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,57.140.24.26,4.34469986,50.85089874,Belgium,,,,Singapore Management University (SMU),Year 3,Bachelor's Degree,Economics,"Non-Singaporean, with long-term residence status",Female,,,,,,,,,,,
22,"Sep 3, 2025 3:25:18 PM","Sep 3, 2025 3:27:05 PM",Complete,English,1756884314_68b7ed5a14f861.00788803,"Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.7258.143 Mobile Safari/537.36",,119.234.8.156,103.8393021,1.299700022,Singapore,Singapore,0,23,Nanyang Technological University (NTU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8,Meaningful work impact,
23,"Sep 3, 2025 3:34:31 PM","Sep 3, 2025 3:34:31 PM",Partial,English,1756884864_68b7ef80372683.27687311,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1",,194.11.199.111,-77.64430237,39.08140182,United States,Ashburn,VA,20104,,,,,,,,,,,,,,,,,
24,"Sep 3, 2025 5:39:19 PM","Sep 3, 2025 5:39:19 PM",Partial,English,1756892352_68b80cc08ceb77.33764992,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,137.132.26.190,103.7630997,1.309900045,Singapore,Singapore,0,12,,,,,,,,,,,,,,,,,
25,"Sep 3, 2025 6:14:28 PM","Sep 3, 2025 6:14:28 PM",Partial,English,1756894463_68b814ffa3a1d8.58077203,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.2 Mobile/22D82 Safari/604.1",,111.65.45.56,103.8554001,1.303599954,Singapore,Singapore,0,18,,,,,,,,,,,,,,,,,
26,"Sep 3, 2025 7:28:21 PM","Sep 3, 2025 7:29:48 PM",Partial,English,1756898891_68b8264b185003.75646302,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,155.69.180.17,103.6498032,1.315400004,Singapore,Tuas,0,63,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,,,,,,,,,,,
27,"Sep 4, 2025 1:24:42 PM","Sep 4, 2025 1:24:42 PM",Partial,English,1756963480_68b922985f8994.06779665,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1",,155.69.181.14,103.6498032,1.315400004,Singapore,Tuas,0,63,,,,,,,,,,,,,,,,,
28,"Sep 4, 2025 1:25:41 PM","Sep 4, 2025 5:50:12 PM",Complete,English,1756963535_68b922cf5c7389.80337330,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,210.10.4.166,103.8554001,1.303599954,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,6,Meaningful work impact,
29,"Sep 4, 2025 1:27:46 PM","Sep 4, 2025 5:20:47 PM",Partial,English,1756963652_68b92344a16e09.87567512,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",,155.69.180.3,103.6498032,1.315400004,Singapore,Tuas,0,63,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,,,,,,,,,,,
30,"Sep 4, 2025 2:46:54 PM","Sep 4, 2025 2:47:14 PM",Partial,English,1756968412_68b935dc7b0ef2.88059835,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,155.69.184.5,103.7266998,1.32980001,Singapore,Jurong,0,61,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,,,,,,,,,,,
31,"Sep 4, 2025 3:00:16 PM","Sep 4, 2025 3:00:16 PM",Partial,English,1756969200_68b938f0be6a56.92906664,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",,27.125.137.187,103.7897034,1.324200034,Singapore,Singapore,0,27,,,,,,,,,,,,,,,,,
