,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",rating_category,institution,perception
3,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
9,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
13,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
16,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
17,8.0,High (8-10),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
20,10.0,High (8-10),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
21,5.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
26,3.0,Low (1-4),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
27,7.0,Medium (5-7),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
29,7.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
31,7.0,Medium (5-7),Singapore Management University (SMU),I’m not familiar enough with the organisation to form a solid opinion
32,9.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
33,8.0,High (8-10),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
34,8.0,High (8-10),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
37,6.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
38,5.0,Medium (5-7),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
39,8.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
41,5.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
42,6.0,Medium (5-7),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
43,4.0,Low (1-4),Singapore Management University (SMU),I’m not familiar enough with the organisation to form a solid opinion
44,7.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
45,8.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
46,9.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
48,6.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
49,8.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
50,8.0,High (8-10),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
52,8.0,High (8-10),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
53,6.0,Medium (5-7),Singapore Management University (SMU),I’m not familiar enough with the organisation to form a solid opinion
54,7.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
55,7.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
56,7.0,Medium (5-7),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
58,7.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
59,8.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
60,7.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
