,questions_answered,completion_percentage,completion_category
0,6,33.33333333333333,Partial (30-70%)
1,6,33.33333333333333,Partial (30-70%)
2,6,33.33333333333333,Partial (30-70%)
3,12,66.66666666666666,Partial (30-70%)
4,0,0.0,
5,0,0.0,
6,0,0.0,
7,6,33.33333333333333,Partial (30-70%)
8,0,0.0,
9,12,66.66666666666666,Partial (30-70%)
10,6,33.33333333333333,Partial (30-70%)
11,6,33.33333333333333,Partial (30-70%)
12,0,0.0,
13,12,66.66666666666666,Partial (30-70%)
14,0,0.0,
15,0,0.0,
16,12,66.66666666666666,Partial (30-70%)
17,12,66.66666666666666,Partial (30-70%)
18,6,33.33333333333333,Partial (30-70%)
19,6,33.33333333333333,Partial (30-70%)
20,12,66.66666666666666,Partial (30-70%)
21,12,66.66666666666666,Partial (30-70%)
22,6,33.33333333333333,Partial (30-70%)
23,0,0.0,
24,6,33.33333333333333,Partial (30-70%)
25,0,0.0,
26,12,66.66666666666666,Partial (30-70%)
27,12,66.66666666666666,Partial (30-70%)
28,6,33.33333333333333,Partial (30-70%)
29,12,66.66666666666666,Partial (30-70%)
30,6,33.33333333333333,Partial (30-70%)
31,12,66.66666666666666,Partial (30-70%)
32,12,66.66666666666666,Partial (30-70%)
33,12,66.66666666666666,Partial (30-70%)
34,12,66.66666666666666,Partial (30-70%)
35,6,33.33333333333333,Partial (30-70%)
36,6,33.33333333333333,Partial (30-70%)
37,12,66.66666666666666,Partial (30-70%)
38,12,66.66666666666666,Partial (30-70%)
39,12,66.66666666666666,Partial (30-70%)
40,6,33.33333333333333,Partial (30-70%)
41,12,66.66666666666666,Partial (30-70%)
42,12,66.66666666666666,Partial (30-70%)
43,12,66.66666666666666,Partial (30-70%)
44,12,66.66666666666666,Partial (30-70%)
45,12,66.66666666666666,Partial (30-70%)
46,12,66.66666666666666,Partial (30-70%)
47,6,33.33333333333333,Partial (30-70%)
48,12,66.66666666666666,Partial (30-70%)
49,12,66.66666666666666,Partial (30-70%)
50,12,66.66666666666666,Partial (30-70%)
51,6,33.33333333333333,Partial (30-70%)
52,12,66.66666666666666,Partial (30-70%)
53,12,66.66666666666666,Partial (30-70%)
54,12,66.66666666666666,Partial (30-70%)
55,12,66.66666666666666,Partial (30-70%)
56,12,66.66666666666666,Partial (30-70%)
57,6,33.33333333333333,Partial (30-70%)
58,12,66.66666666666666,Partial (30-70%)
59,12,66.66666666666666,Partial (30-70%)
60,12,66.66666666666666,Partial (30-70%)
61,12,66.66666666666666,Partial (30-70%)
62,12,66.66666666666666,Partial (30-70%)
63,6,33.33333333333333,Partial (30-70%)
64,12,66.66666666666666,Partial (30-70%)
65,0,0.0,
66,0,0.0,
67,12,66.66666666666666,Partial (30-70%)
68,6,33.33333333333333,Partial (30-70%)
69,12,66.66666666666666,Partial (30-70%)
70,12,66.66666666666666,Partial (30-70%)
71,6,33.33333333333333,Partial (30-70%)
72,12,66.66666666666666,Partial (30-70%)
73,6,33.33333333333333,Partial (30-70%)
74,12,66.66666666666666,Partial (30-70%)
75,6,33.33333333333333,Partial (30-70%)
76,6,33.33333333333333,Partial (30-70%)
77,12,66.66666666666666,Partial (30-70%)
78,12,66.66666666666666,Partial (30-70%)
79,0,0.0,
80,6,33.33333333333333,Partial (30-70%)
81,6,33.33333333333333,Partial (30-70%)
82,0,0.0,
83,6,33.33333333333333,Partial (30-70%)
84,6,33.33333333333333,Partial (30-70%)
85,6,33.33333333333333,Partial (30-70%)
86,12,66.66666666666666,Partial (30-70%)
87,6,33.33333333333333,Partial (30-70%)
88,6,33.33333333333333,Partial (30-70%)
89,0,0.0,
90,0,0.0,
91,0,0.0,
92,0,0.0,
93,0,0.0,
94,0,0.0,
95,0,0.0,
96,6,33.33333333333333,Partial (30-70%)
97,6,33.33333333333333,Partial (30-70%)
98,0,0.0,
99,12,66.66666666666666,Partial (30-70%)
100,12,66.66666666666666,Partial (30-70%)
101,12,66.66666666666666,Partial (30-70%)
102,0,0.0,
103,0,0.0,
104,12,66.66666666666666,Partial (30-70%)
105,6,33.33333333333333,Partial (30-70%)
106,12,66.66666666666666,Partial (30-70%)
107,12,66.66666666666666,Partial (30-70%)
108,12,66.66666666666666,Partial (30-70%)
109,12,66.66666666666666,Partial (30-70%)
110,12,66.66666666666666,Partial (30-70%)
111,12,66.66666666666666,Partial (30-70%)
112,12,66.66666666666666,Partial (30-70%)
113,12,66.66666666666666,Partial (30-70%)
114,12,66.66666666666666,Partial (30-70%)
115,12,66.66666666666666,Partial (30-70%)
116,12,66.66666666666666,Partial (30-70%)
117,12,66.66666666666666,Partial (30-70%)
118,6,33.33333333333333,Partial (30-70%)
119,12,66.66666666666666,Partial (30-70%)
120,12,66.66666666666666,Partial (30-70%)
121,12,66.66666666666666,Partial (30-70%)
122,12,66.66666666666666,Partial (30-70%)
123,12,66.66666666666666,Partial (30-70%)
124,12,66.66666666666666,Partial (30-70%)
125,12,66.66666666666666,Partial (30-70%)
126,12,66.66666666666666,Partial (30-70%)
127,12,66.66666666666666,Partial (30-70%)
128,12,66.66666666666666,Partial (30-70%)
129,0,0.0,
130,12,66.66666666666666,Partial (30-70%)
131,12,66.66666666666666,Partial (30-70%)
132,12,66.66666666666666,Partial (30-70%)
133,6,33.33333333333333,Partial (30-70%)
134,6,33.33333333333333,Partial (30-70%)
135,6,33.33333333333333,Partial (30-70%)
136,0,0.0,
137,6,33.33333333333333,Partial (30-70%)
138,12,66.66666666666666,Partial (30-70%)
139,6,33.33333333333333,Partial (30-70%)
140,12,66.66666666666666,Partial (30-70%)
141,12,66.66666666666666,Partial (30-70%)
142,12,66.66666666666666,Partial (30-70%)
143,0,0.0,
144,12,66.66666666666666,Partial (30-70%)
145,12,66.66666666666666,Partial (30-70%)
146,12,66.66666666666666,Partial (30-70%)
147,12,66.66666666666666,Partial (30-70%)
148,6,33.33333333333333,Partial (30-70%)
149,6,33.33333333333333,Partial (30-70%)
150,12,66.66666666666666,Partial (30-70%)
151,12,66.66666666666666,Partial (30-70%)
152,0,0.0,
153,0,0.0,
154,6,33.33333333333333,Partial (30-70%)
155,12,66.66666666666666,Partial (30-70%)
156,12,66.66666666666666,Partial (30-70%)
157,0,0.0,
158,12,66.66666666666666,Partial (30-70%)
159,12,66.66666666666666,Partial (30-70%)
160,12,66.66666666666666,Partial (30-70%)
161,12,66.66666666666666,Partial (30-70%)
162,12,66.66666666666666,Partial (30-70%)
163,0,0.0,
164,12,66.66666666666666,Partial (30-70%)
165,12,66.66666666666666,Partial (30-70%)
166,0,0.0,
167,0,0.0,
168,12,66.66666666666666,Partial (30-70%)
169,12,66.66666666666666,Partial (30-70%)
170,0,0.0,
171,0,0.0,
172,12,66.66666666666666,Partial (30-70%)
173,12,66.66666666666666,Partial (30-70%)
174,12,66.66666666666666,Partial (30-70%)
175,12,66.66666666666666,Partial (30-70%)
176,0,0.0,
177,12,66.66666666666666,Partial (30-70%)
178,12,66.66666666666666,Partial (30-70%)
179,12,66.66666666666666,Partial (30-70%)
180,12,66.66666666666666,Partial (30-70%)
181,0,0.0,
182,12,66.66666666666666,Partial (30-70%)
183,12,66.66666666666666,Partial (30-70%)
184,12,66.66666666666666,Partial (30-70%)
185,12,66.66666666666666,Partial (30-70%)
186,12,66.66666666666666,Partial (30-70%)
187,12,66.66666666666666,Partial (30-70%)
188,6,33.33333333333333,Partial (30-70%)
189,6,33.33333333333333,Partial (30-70%)
190,0,0.0,
191,12,66.66666666666666,Partial (30-70%)
192,0,0.0,
193,12,66.66666666666666,Partial (30-70%)
194,12,66.66666666666666,Partial (30-70%)
195,12,66.66666666666666,Partial (30-70%)
196,0,0.0,
197,12,66.66666666666666,Partial (30-70%)
198,12,66.66666666666666,Partial (30-70%)
199,0,0.0,
200,12,66.66666666666666,Partial (30-70%)
201,12,66.66666666666666,Partial (30-70%)
202,12,66.66666666666666,Partial (30-70%)
203,12,66.66666666666666,Partial (30-70%)
204,12,66.66666666666666,Partial (30-70%)
205,12,66.66666666666666,Partial (30-70%)
206,12,66.66666666666666,Partial (30-70%)
207,12,66.66666666666666,Partial (30-70%)
208,12,66.66666666666666,Partial (30-70%)
209,12,66.66666666666666,Partial (30-70%)
210,12,66.66666666666666,Partial (30-70%)
211,12,66.66666666666666,Partial (30-70%)
212,12,66.66666666666666,Partial (30-70%)
213,12,66.66666666666666,Partial (30-70%)
214,12,66.66666666666666,Partial (30-70%)
215,12,66.66666666666666,Partial (30-70%)
216,12,66.66666666666666,Partial (30-70%)
217,12,66.66666666666666,Partial (30-70%)
218,12,66.66666666666666,Partial (30-70%)
219,0,0.0,
220,12,66.66666666666666,Partial (30-70%)
221,12,66.66666666666666,Partial (30-70%)
222,12,66.66666666666666,Partial (30-70%)
223,12,66.66666666666666,Partial (30-70%)
224,12,66.66666666666666,Partial (30-70%)
225,12,66.66666666666666,Partial (30-70%)
226,12,66.66666666666666,Partial (30-70%)
227,12,66.66666666666666,Partial (30-70%)
228,12,66.66666666666666,Partial (30-70%)
229,12,66.66666666666666,Partial (30-70%)
230,12,66.66666666666666,Partial (30-70%)
231,0,0.0,
232,12,66.66666666666666,Partial (30-70%)
233,12,66.66666666666666,Partial (30-70%)
234,12,66.66666666666666,Partial (30-70%)
235,12,66.66666666666666,Partial (30-70%)
236,12,66.66666666666666,Partial (30-70%)
237,6,33.33333333333333,Partial (30-70%)
238,6,33.33333333333333,Partial (30-70%)
239,6,33.33333333333333,Partial (30-70%)
240,6,33.33333333333333,Partial (30-70%)
241,6,33.33333333333333,Partial (30-70%)
242,6,33.33333333333333,Partial (30-70%)
243,6,33.33333333333333,Partial (30-70%)
244,6,33.33333333333333,Partial (30-70%)
245,6,33.33333333333333,Partial (30-70%)
246,12,66.66666666666666,Partial (30-70%)
247,12,66.66666666666666,Partial (30-70%)
248,12,66.66666666666666,Partial (30-70%)
249,12,66.66666666666666,Partial (30-70%)
250,12,66.66666666666666,Partial (30-70%)
251,12,66.66666666666666,Partial (30-70%)
252,12,66.66666666666666,Partial (30-70%)
253,6,33.33333333333333,Partial (30-70%)
254,12,66.66666666666666,Partial (30-70%)
255,12,66.66666666666666,Partial (30-70%)
256,12,66.66666666666666,Partial (30-70%)
257,12,66.66666666666666,Partial (30-70%)
258,12,66.66666666666666,Partial (30-70%)
259,12,66.66666666666666,Partial (30-70%)
260,12,66.66666666666666,Partial (30-70%)
261,6,33.33333333333333,Partial (30-70%)
262,6,33.33333333333333,Partial (30-70%)
263,12,66.66666666666666,Partial (30-70%)
264,6,33.33333333333333,Partial (30-70%)
265,6,33.33333333333333,Partial (30-70%)
266,12,66.66666666666666,Partial (30-70%)
267,12,66.66666666666666,Partial (30-70%)
268,12,66.66666666666666,Partial (30-70%)
269,12,66.66666666666666,Partial (30-70%)
270,12,66.66666666666666,Partial (30-70%)
271,12,66.66666666666666,Partial (30-70%)
272,12,66.66666666666666,Partial (30-70%)
273,6,33.33333333333333,Partial (30-70%)
274,12,66.66666666666666,Partial (30-70%)
275,12,66.66666666666666,Partial (30-70%)
276,12,66.66666666666666,Partial (30-70%)
277,12,66.66666666666666,Partial (30-70%)
278,12,66.66666666666666,Partial (30-70%)
279,12,66.66666666666666,Partial (30-70%)
280,12,66.66666666666666,Partial (30-70%)
281,12,66.66666666666666,Partial (30-70%)
282,12,66.66666666666666,Partial (30-70%)
283,12,66.66666666666666,Partial (30-70%)
284,12,66.66666666666666,Partial (30-70%)
285,12,66.66666666666666,Partial (30-70%)
286,12,66.66666666666666,Partial (30-70%)
287,12,66.66666666666666,Partial (30-70%)
288,12,66.66666666666666,Partial (30-70%)
289,12,66.66666666666666,Partial (30-70%)
290,12,66.66666666666666,Partial (30-70%)
291,12,66.66666666666666,Partial (30-70%)
292,12,66.66666666666666,Partial (30-70%)
293,12,66.66666666666666,Partial (30-70%)
294,12,66.66666666666666,Partial (30-70%)
295,12,66.66666666666666,Partial (30-70%)
296,12,66.66666666666666,Partial (30-70%)
297,12,66.66666666666666,Partial (30-70%)
298,12,66.66666666666666,Partial (30-70%)
299,12,66.66666666666666,Partial (30-70%)
300,12,66.66666666666666,Partial (30-70%)
301,12,66.66666666666666,Partial (30-70%)
302,12,66.66666666666666,Partial (30-70%)
303,12,66.66666666666666,Partial (30-70%)
304,12,66.66666666666666,Partial (30-70%)
305,12,66.66666666666666,Partial (30-70%)
306,12,66.66666666666666,Partial (30-70%)
307,12,66.66666666666666,Partial (30-70%)
308,12,66.66666666666666,Partial (30-70%)
309,12,66.66666666666666,Partial (30-70%)
310,12,66.66666666666666,Partial (30-70%)
311,12,66.66666666666666,Partial (30-70%)
312,12,66.66666666666666,Partial (30-70%)
313,12,66.66666666666666,Partial (30-70%)
314,12,66.66666666666666,Partial (30-70%)
315,12,66.66666666666666,Partial (30-70%)
316,12,66.66666666666666,Partial (30-70%)
317,12,66.66666666666666,Partial (30-70%)
318,12,66.66666666666666,Partial (30-70%)
319,12,66.66666666666666,Partial (30-70%)
320,12,66.66666666666666,Partial (30-70%)
321,12,66.66666666666666,Partial (30-70%)
322,6,33.33333333333333,Partial (30-70%)
323,12,66.66666666666666,Partial (30-70%)
324,12,66.66666666666666,Partial (30-70%)
325,6,33.33333333333333,Partial (30-70%)
326,12,66.66666666666666,Partial (30-70%)
327,12,66.66666666666666,Partial (30-70%)
328,12,66.66666666666666,Partial (30-70%)
329,12,66.66666666666666,Partial (30-70%)
330,12,66.66666666666666,Partial (30-70%)
331,12,66.66666666666666,Partial (30-70%)
332,12,66.66666666666666,Partial (30-70%)
333,12,66.66666666666666,Partial (30-70%)
334,12,66.66666666666666,Partial (30-70%)
335,12,66.66666666666666,Partial (30-70%)
336,12,66.66666666666666,Partial (30-70%)
337,12,66.66666666666666,Partial (30-70%)
338,12,66.66666666666666,Partial (30-70%)
339,12,66.66666666666666,Partial (30-70%)
340,12,66.66666666666666,Partial (30-70%)
341,12,66.66666666666666,Partial (30-70%)
342,12,66.66666666666666,Partial (30-70%)
343,12,66.66666666666666,Partial (30-70%)
344,12,66.66666666666666,Partial (30-70%)
345,12,66.66666666666666,Partial (30-70%)
346,12,66.66666666666666,Partial (30-70%)
347,12,66.66666666666666,Partial (30-70%)
348,6,33.33333333333333,Partial (30-70%)
349,12,66.66666666666666,Partial (30-70%)
350,12,66.66666666666666,Partial (30-70%)
351,6,33.33333333333333,Partial (30-70%)
352,12,66.66666666666666,Partial (30-70%)
353,12,66.66666666666666,Partial (30-70%)
354,12,66.66666666666666,Partial (30-70%)
355,12,66.66666666666666,Partial (30-70%)
356,12,66.66666666666666,Partial (30-70%)
357,12,66.66666666666666,Partial (30-70%)
358,12,66.66666666666666,Partial (30-70%)
359,12,66.66666666666666,Partial (30-70%)
360,12,66.66666666666666,Partial (30-70%)
361,12,66.66666666666666,Partial (30-70%)
362,6,33.33333333333333,Partial (30-70%)
363,12,66.66666666666666,Partial (30-70%)
364,12,66.66666666666666,Partial (30-70%)
365,6,33.33333333333333,Partial (30-70%)
366,6,33.33333333333333,Partial (30-70%)
367,12,66.66666666666666,Partial (30-70%)
368,12,66.66666666666666,Partial (30-70%)
369,12,66.66666666666666,Partial (30-70%)
370,12,66.66666666666666,Partial (30-70%)
371,12,66.66666666666666,Partial (30-70%)
372,12,66.66666666666666,Partial (30-70%)
373,12,66.66666666666666,Partial (30-70%)
374,12,66.66666666666666,Partial (30-70%)
375,12,66.66666666666666,Partial (30-70%)
376,12,66.66666666666666,Partial (30-70%)
377,12,66.66666666666666,Partial (30-70%)
378,12,66.66666666666666,Partial (30-70%)
379,12,66.66666666666666,Partial (30-70%)
380,6,33.33333333333333,Partial (30-70%)
381,12,66.66666666666666,Partial (30-70%)
382,12,66.66666666666666,Partial (30-70%)
383,6,33.33333333333333,Partial (30-70%)
384,12,66.66666666666666,Partial (30-70%)
385,12,66.66666666666666,Partial (30-70%)
386,12,66.66666666666666,Partial (30-70%)
387,12,66.66666666666666,Partial (30-70%)
388,12,66.66666666666666,Partial (30-70%)
389,12,66.66666666666666,Partial (30-70%)
390,0,0.0,
391,6,33.33333333333333,Partial (30-70%)
392,12,66.66666666666666,Partial (30-70%)
393,12,66.66666666666666,Partial (30-70%)
394,12,66.66666666666666,Partial (30-70%)
395,12,66.66666666666666,Partial (30-70%)
396,12,66.66666666666666,Partial (30-70%)
397,12,66.66666666666666,Partial (30-70%)
398,12,66.66666666666666,Partial (30-70%)
399,12,66.66666666666666,Partial (30-70%)
400,12,66.66666666666666,Partial (30-70%)
401,12,66.66666666666666,Partial (30-70%)
402,12,66.66666666666666,Partial (30-70%)
403,12,66.66666666666666,Partial (30-70%)
404,12,66.66666666666666,Partial (30-70%)
405,12,66.66666666666666,Partial (30-70%)
406,12,66.66666666666666,Partial (30-70%)
407,12,66.66666666666666,Partial (30-70%)
408,12,66.66666666666666,Partial (30-70%)
