response_id,status,language,sessionid,user_agent,tags,ip_address,longitude,latitude,country,city,state_region,postal,which_higher_education_institution_do_you_or_did_you_study_at?,what_is_your_current_year_of_study_as_of_2025?,what_will_be_your_highest_qualification_when_you_graduate?,which_of_the_following_best_describes_the_main_subject_that_you_are_studying?,please_indicate_your_nationality,what_is_your_gender?,which_of_these_statements_best_describes_your_current_perception_of_the_organisation_as_an_employer?,types_of_roles_available:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),career_progression_and_development:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),compensation_and_benefits:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),work-life_balance_and_culture:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),application_and_interview_process:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),other_-_write_in_(required):what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),other_-_write_in_(required):what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3)__1,"on_a_scale_from_1_to_10_(1_–_low,_10_–_high),_how_would_you_rate_the_attractiveness_of_the_organisation_as_an_employer?",which_of_these_factors_would_most_motivate_you_to_apply_for_a_position_at_the_organisation?,other_-_write_in_(required):which_of_these_factors_would_most_motivate_you_to_apply_for_a_position_at_the_organisation?,student_interest_profile,time_taken,student_segment,rating_col,year_group,nationality_group,gender_group,field_group,perception_group,motivation_group,score_group,segment
22,Complete,English,1756884314_68b7ed5a14f861.00788803,"Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.7258.143 Mobile Safari/537.36",,119.234.8.156,103.83930206299,1.2997000217438,Singapore,Singapore,0,23.0,Nanyang Technological University (NTU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8.0,Meaningful work impact,,"Types of roles available, Career progression and development, Application and interview process",1.7833333333333334,Late Talent (Graduate Seekers),8.0,Year 4,Singaporean/PR,Female,Economics,Familiar & Positive,Meaningful Work Impact,High (8-10),Other Segment
28,Complete,English,1756963535_68b922cf5c7389.80337330,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,210.10.4.166,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,6.0,Meaningful work impact,,"Career progression and development, Compensation and benefits, Work-life balance and culture",264.51666666666665,Late Talent (Graduate Seekers),6.0,Year 3,Singaporean/PR,Female,Business/Management,Recognize but Unclear,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
32,Complete,English,1756970303_68b93d3f80e649.57809745,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,155.69.192.67,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7.0,Career growth opportunities,,"Career progression and development, Compensation and benefits, Work-life balance and culture",0.9666666666666667,Late Talent (Graduate Seekers),7.0,Year 3,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Career Growth Opportunities,Medium (5-7),High Potential but Uninformed
35,Complete,English,1757003900_68b9c07ce85fc0.71614211,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",,155.69.180.10,103.64980316162,1.3154000043869,Singapore,Tuas,0,63.0,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,5.0,Meaningful work impact,,"Career progression and development, Compensation and benefits, Work-life balance and culture",59838.13333333333,Early Talent (Internship Seekers),5.0,Year 2,Singaporean/PR,Female,Social Sciences,Positive but Uninformed,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
36,Complete,English,1757054064_68ba84705ba808.74998630,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,117.20.154.60,103.74729919434,1.3849999904633,Singapore,Singapore,0,68.0,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,8.0,Meaningful work impact,,"Types of roles available, Career progression and development, Compensation and benefits",2.4166666666666665,Early Talent (Internship Seekers),8.0,Year 2,Singaporean/PR,Female,Business/Management,Recognize but Unclear,Meaningful Work Impact,High (8-10),High Potential but Uninformed
39,Complete,English,1757054495_68ba861f044d13.26814099,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,202.161.35.28,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,10.0,Career growth opportunities,,"Types of roles available, Career progression and development, Compensation and benefits",1.4666666666666666,Early Talent (Internship Seekers),10.0,Year 2,Singaporean/PR,Female,Economics,Positive but Uninformed,Career Growth Opportunities,High (8-10),High Potential but Uninformed
40,Complete,English,1757054508_68ba862cca4442.72035803,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",,119.56.106.197,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,5.0,Meaningful work impact,,"Types of roles available, Compensation and benefits, Work-life balance and culture",1456.4666666666667,Early Talent (Internship Seekers),5.0,Year 2,Singaporean/PR,Female,Economics,Positive but Uninformed,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
45,Complete,English,1757055067_68ba885be36913.67354303,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,122.11.248.245,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,3.0,Work-life balance,,"Career progression and development, Compensation and benefits, Work-life balance and culture",0.95,Late Talent (Graduate Seekers),3.0,Year 4,Singaporean/PR,Male,IT/Tech,Positive but Uninformed,Work-Life Balance,Low (1-4),Disengaged/Non-Target
46,Complete,English,1757055204_68ba88e43373c4.01280279,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,7.0,Meaningful work impact,,"Types of roles available, Career progression and development, Work-life balance and culture",87.96666666666667,Early Talent (Internship Seekers),7.0,Year 2,Singaporean/PR,Female,Business/Management,Familiar & Positive,Meaningful Work Impact,Medium (5-7),Other Segment
48,Complete,English,1757055370_68ba898a59c335.18410574,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,119.234.52.100,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7.0,Meaningful work impact,,"Types of roles available, Career progression and development, Application and interview process",1.5166666666666666,Late Talent (Graduate Seekers),7.0,Year 3,Singaporean/PR,Male,Business/Management,Positive but Uninformed,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
