Response ID,Time Started,Date Submitted,Status,Language,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Which higher education institution do you or did you study at?,What is your current year of study as of 2025?,What will be your highest qualification when you graduate?,Which of the following best describes the main subject that you are studying?,Please indicate your nationality.,What is your gender?,Which of these statements best describes your current perception of the organisation as an employer?,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",Which of these factors would most motivate you to apply for a position at the organisation?,Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?,questions_answered,completion_percentage,completion_category
19,2025-09-02 15:03:01,2025-09-02 15:03:40,Partial,English,1756796577_68b696a123dd27.81295289,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,104.28.119.112,-97.821998596191,37.750999450684,United States,,,,National University of Singapore (NUS),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,,,,,,,,,,,,6,33.33333333333333,Partial (30-70%)
20,2025-09-02 15:15:32,2025-09-02 15:16:59,Disqualified,English,1756797328_68b699901c4cf6.89118890,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,57.140.24.26,4.3446998596191,50.850898742676,Belgium,,,,Singapore Management University (SMU),Year 3,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,,,,,,,,,,,,6,33.33333333333333,Partial (30-70%)
21,2025-09-02 15:18:01,2025-09-02 15:19:30,Disqualified,English,1756797478_68b69a26c5d785.44808899,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",,57.140.24.26,4.3446998596191,50.850898742676,Belgium,,,,Singapore Management University (SMU),Year 3,Bachelor's Degree,Economics,"Non-Singaporean, with long-term residence status",Female,,,,,,,,,,,,6,33.33333333333333,Partial (30-70%)
22,2025-09-03 15:25:18,2025-09-03 15:27:05,Complete,English,1756884314_68b7ed5a14f861.00788803,"Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.7258.143 Mobile Safari/537.36",,119.234.8.156,103.83930206299,1.2997000217438,Singapore,Singapore,0,23,Nanyang Technological University (NTU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8.0,Meaningful work impact,,12,66.66666666666666,Partial (30-70%)
23,2025-09-03 15:34:31,2025-09-03 15:34:31,Partial,English,1756884864_68b7ef80372683.27687311,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1",,194.11.199.111,-77.644302368164,39.081401824951,United States,Ashburn,VA,20104,,,,,,,,,,,,,,,,,,0,0.0,
24,2025-09-03 17:39:19,2025-09-03 17:39:19,Partial,English,1756892352_68b80cc08ceb77.33764992,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,137.132.26.190,103.76309967041,1.3099000453949,Singapore,Singapore,0,12,,,,,,,,,,,,,,,,,,0,0.0,
25,2025-09-03 18:14:28,2025-09-03 18:14:28,Partial,English,1756894463_68b814ffa3a1d8.58077203,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.2 Mobile/22D82 Safari/604.1",,111.65.45.56,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,,,,,,,,,,,,,,,,,,0,0.0,
26,2025-09-03 19:28:21,2025-09-03 19:29:48,Partial,English,1756898891_68b8264b185003.75646302,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,155.69.180.17,103.64980316162,1.3154000043869,Singapore,Tuas,0,63,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,,,,,,,,,,,,6,33.33333333333333,Partial (30-70%)
27,2025-09-04 13:24:42,2025-09-04 13:24:42,Partial,English,1756963480_68b922985f8994.06779665,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1",,155.69.181.14,103.64980316162,1.3154000043869,Singapore,Tuas,0,63,,,,,,,,,,,,,,,,,,0,0.0,
28,2025-09-04 13:25:41,2025-09-04 17:50:12,Complete,English,1756963535_68b922cf5c7389.80337330,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,210.10.4.166,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,6.0,Meaningful work impact,,12,66.66666666666666,Partial (30-70%)
